1,2E0ZWW,JO01ED,,M3ZWW,ICOM IC-820H  FT897D,04/09
2,2I0BIW,IO64PF,,MI3IYA,Yaesu ft-847,06/07
3,2M0EXD,IO88FO,,,,04/04
4,3B9C,MH10QG,EME,,,01/03
5,3D2LR,RH92,EME,,,
6,3DA0HL,KG53MS,EME,EXPEDITION,,03/07
7,3V8BB,JM56ER,EME,,,06/02
8,3V8SS,JM55GX,EME,Expedition,144: 16JXX and 1kw,12/05
9,3X5A,IJ39JJ,EME,EXPEDITION,144: 2M28XPOLs and a KW,11/07
10,3Y0X,EC41RE,EME,Expedition,144: 4x 9el 350W,02/06
11,4F2KWT,PK06CI,EME,,50: 7el 650W,07-06
12,4J1FS,KP40,,Expedition,,01/90
13,4K6D,LN40VK,EME,,,01/94
14,4N7AX,KN05PC,,,144:  200 W  2x10el 9BV,08/00
15,4O3T,JN92HJ,EME,,144:  IC706  Skysar 1kW FM-PA 3x 10 el at 10m abt 700m asl,08/06
16,4O4AR,JN94AS,,,144: TR9130 250W 10el PA0MS-ant Preamp,11/02
17,4O4D,JN94BR,,,144: 300W  11el,05/97
18,4O9T,JN94XC,,YU7AAA  YT7C,,11/08
19,4S7CCG,MJ96WV,EME,,144: 4 x 8el and 300W,07/06
20,4U1ITU,JN36BF,EME,div. Activities,144: 8el  600W,11/00
21,4X1IF,KM72KA,EME,,,07/05
22,4X4IF,KM72KD,EME,,,05/00
23,4X6UJ,KM72,EME,,,01/00
24,4Z5AO,KM72MW,,ex UA1AKZ,ft-857 ic-746,07/05
25,4Z5BS,KM71JW,,,,07/95
26,5A7A,JM62MU,EME,Expedition,144: 2x 10el 7ZB 1KW  - 432: 9wl ant 200W,03/07
27,5B4AGY,KM64EV,,ex G3RSI  5A3CAD  VO2AN,FT-726R plus 1kW Linears and head amplifiers for 6M and 2M and 100w for 70cms,01/05
28,5B4AIA,KM65GD,EME,EXPEDITION,144: 2MXP32 6WL  500W,09/07
29,5B8AD,KM64TV,EME,,144: 2x16 el 14.3dB 230w,03/05
30,5B8AV,KM64FT,,ex 5B/G1JJE,,05/04
31,5C8M,IM64PD,EME,Expedition,144: IC706 MKIIG PA 1KW  preamp. 2x 3WL yagis,10/00
32,5F3COM,IM52JJ,EME,,,09/06
33,5H1HP,KI93RV,EME,EXPEDITION,144: 14el XP 1.2KW,05/09
34,5H1HP/KI94,KI94,EME,EXPEDITION,144: 14el XP 1.2KW,05/09
35,5H1MS,KI93RV,EME,EXPEDITION,144: 14el XP 1.2KW,05/09
36,5H1MS/KI94,KI94,EME,EXPEDITION,144: 14el XP 1.2KW,05/09
37,5P8Z,JO55RT,EME,,144: IC706  GS31b  1KW  4x8el,04/07
38,5P9S,JO54TU,EME,,See www.oz9s.dk (click rig) for actual and updated info,05/07
39,5Q2M,JO65AN,EME,,FT847 50: 100W 4el - 144: 350W  2x 13el  Preamp,04/07
40,5Q9S,JO54TU,EME,,See www.oz9s.dk (click rig) for actual and updated info,05/07
41,5R8EM,LH42WX,EME,EXPEDITION,,09/08
42,5T5JC,IL30AM,EME,,,01/94
43,5T5SN,IK28AC,EME,QRT,,09/05
44,5X1D,KJ60EM,EME,,300W- 17el,03/97
45,5Z4EME,KI79MO,EME,EXPEDITION,144: 2x 10el XPol and 600W,02/09
46,5Z4NU,KI88IP,,,144: 25W 9el,09/05
47,6F75A,DL81UU,EME,,144: IC820 400W 4x 9el,01/07
48,6I2AT,DL81UU,EME,,144: IC820 400W 4x 9el,01/07
49,6V7A,IK14LK,EME,Expedition,144: 2 times BQH8B cross yagis  14.5 dBd  and 500w SSPA,05/06
50,6Y4A,FK18AA,EME,Expedition,144: 2x 2MXP28 cross pol ant.  1KW,10/00
51,7J0AAD,PM97OS,EME,,144: 1KW  4x19el 2x18el MGF1801,01/00
52,7J6CCU,PL36VI,EME,,50: TS570 or IC821,04/02
53,7K1MFR,PM95SP,,,,01/03
54,7K3LGC,PM95RI,EME,,,09/06
55,7L1RLL,PM95SO,,,,01/03
56,7M1QMY,PM95VQ,,,,02/09
57,7M2PDT,QM05EK,EME,,432: 16x14el 1-5KW,11/06
58,7Q7JE,KH76DW,EME,,144: 2x 9el 350W,07/06
59,7S2AT,KP03DU,,,,03/06
60,7W0AD,JM16JR,,,,11/04
61,7X0AD,JM16JR,,,144: 9el 200W,11/04
62,7X2VV,JM16WJ,,,,07/02
63,7Z1SJ,LL25WG,EME,,144: 2x 13el,02/07
64,8J1AXA,QM05DF,EME,SPECIALCALL,,05/08
65,8N1EME,QM06IQ,EME,Expedition,,03/07
66,8S4BX,JO79SD,EME,,,10/99
67,8S6T,JO68SE,,ALSO SM6WET & SG6T,FT650 847 920,11/08
68,9A1AAX,JN65TF,,,144: 16el 500W,04/01
69,9A1CAL,JN86EL,,,144: IC271  FT736  FT225RD  4CX1500A  2x17el  BF981,11/04
70,9A1CBE,JN86BE,,,,01/96
71,9A1CCB,JN85LN,,ex YU2CCB- YT2C,,03/01
72,9A1CCY,JN85OO,EME,ex YU2CCY,,08/01
73,9A1CDD,JN85LW,,,,01/91
74,9A1CEU,JN75RO,EME,,144: 80W 2x18el 5.5wl 4x11el -  432: 10W 38el,01/99
75,9A1CHI,JN95JG,,ex YU2CHI,,01/94
76,9A1CHL,JN83,,,,03/98
77,9A1CMS,JN86DM,,,,05/07
78,9A1DFG,JN85EL,,,,07/96
79,9A1EZA,JN86HG,EME,ex YU2EZA,IC271E 144: 2x4CX250b MGF1302 10mM2,11/01
80,9A1KDE,JN95FQ,,,,01/94
81,9A1RGC,JN75XT,,,,01/03
82,9A1Z,JN86FJ,,ex YU2SOM YT2SOM 9A3HZ,IC706  DB6NT 1W ON 3CM,01/05
83,9A2AE,JN86HF,,,144: 8x24el 1KW,12/08
84,9A2AT,JN86LL,,,,01/03
85,9A2DI,JN95,,,,06/95
86,9A2EU,JN85JO,,,,07/96
87,9A2GH,JN75IE,,,,01/03
88,9A2KK,JN85KV,,,,11/01
89,9A2KL,JN74OC,,,,08/07
90,9A2MF,JN65SL,,YU2SBF  YU2MF,YAESU  FT-480 r,05/07
91,9A2MK,JN75XU,EME,,,01/94
92,9A2PT,JN86,EME,,,11/01
93,9A2RD,JN65TF,,,144: 2x16el 1KW,05/04
94,9A2SB,JN95GM,,ex YU2SB,,06/99
95,9A2TE,JN85KK,,,144: ft225rd  ts690s  100w,03/06
96,9A2TK,JN76WA,EME,YU2SSU  YU2TK,TS2000X   FT290RII  FT7,07/07
97,9A2U,JN75RO,EME,,144: 80W 2x18el 5.5wl 4x11el,01/99
98,9A2VR,JN95FQ,,,,06/07
99,9A3DF,JN86HG,,,,04/03
100,9A3GE,JN75EI,EME,YU2RNF,TR7 FT817 FT857 IC703 HOME MADE TRANSV. PA 4CX250B  4x 8el,08/07
101,9A3JH,JN75AD,EME,,,01/06
102,9A3JI,JN86FJ,,,50: FT-101ZD+FTV650- IC706mk2g  7ele M2,05/02
103,9A3LN,JN95IN,,,,06/08
104,9A3MR,JN83FM,,,,08/00
105,9A3PA,JN85EG,EME,,FT736r -  50: 10W 5el - 144:  8x13el  800W  MGF1302 - 4320: 300W 4x19el MGF1302,08/04
106,9A3TF,JN85,,,,08/96
107,9A3TU,JN95EH,,YT2TU,TS 830s + transverter home made 6m/2m 10W,06/08
108,9A3W,JN74OC,,ex 9A1RKV,IC706,09/02
109,9A3ZA,JN75RO,,,144: 100W 12el,08/00
110,9A4C,JN85LN,,,,03/01
111,9A4CK,JN86,,,,08/96
112,9A4EW,JN95KG,EME,,144: 200W  10 el. BVOpt,06/08
113,9A4FW,JN95JG,EME,,144: 600W  4x17el F9FT  MGF1302,08/00
114,9A4K,JN86FJ,,,50: FT-101ZD+FTV650- IC706mk2g  7ele M2,05/02
115,9A4NF,JN73VS,,,50: 50W 6el 144: 400W  MGF1302  4.5wl,06/08
116,9A4VM,JN85FS,,,,05/07
117,9A4WY,JN74,,,144: 50W,08/98
118,9A5CW,JN65UF,,EX 9A5AEI,,09/07
119,9A5D,JN92BP,,Expedition,,08/99
120,9A5WA,JN85LN,,,,06/96
121,9A5Y,JN85OO,,SpecialCall,144: 800W   16x5el,10/99
122,9A6PSM,JN75EJ,,,FT817 FT225 IC-7000 IC-202,10/07
123,9A6WW,JN86EL,,,144: IC271  FT736  FT225RD  4CX1500A  2x17el  BF981,09/06
124,9A7W,JN85PO,,ex YU2QS,,06/06
125,9A90CBD,JN85OO,EME,SpecialCall,,07/97
126,9A9B,JN75XU,EME,,144: 4x 16el  1KW,09/06
127,9A9PP,JN85IW,,9A7PSN,Yaesu FT-857D,05/09
128,9H1BN,JM75GU,EME,,,09/99
129,9H1BT,JM75EU,EME,,,01/94
130,9H1CD,JM75FV,EME,NOT qrv MS nw (01/01),144: TS850  LT2S  1KW  2x4.4lb DJ9BV  MGF1302,01/01
131,9H1CG,JM75,,,144: FT902DM FTV250 100W 17el,11/01
132,9H1ES,JM75FV,EME,,,09/99
133,9H1GB,JM75FU,EME,,144: TS780 100W 19el,08/03
134,9H1LO,JM75EW,EME,9H5LO,IC746 - IC706 - FT817 - TH-F7E,12/08
135,9H1PA,JM75FV,EME,9H5O,144 Mhz: TS711 4x10el (3wl) crossed yagi GS35b  - 50 Mhz - 8el yagi 2wl,09/07
136,9H1PI,JM75FU,,ex 9H5PI,50: 100W 5el,03/03
137,9H1TX,JM75FU,EME,,50: 8el yagi 100W - 144: IC7400 GS35 1000 W 2x 15el Xpol LNA145MKII,08/06
138,9H1XT,JM75GV,,,,08/02
139,9H3LF,JM76,,Expedition,,01/91
140,9H3ZZ,JM76CB,EME,Expedition,,01/93
141,9J2JD,KH46MM,EME,Expedition,144: 2M7 antenna,05/06
142,9K2YM,LL48CJ,EME,,144: 2M5WL  450 W,06/07
143,9K48NLD,LL48CJ,EME,SPECIALCALL,144: 4x 13el 300W,02/09
144,9M2BV,OJ30UD,EME,,,01/94
145,9M6YBG,OJ85BW,EME,,2x 10el 50w,10/08
146,9N7JO,NL27QR,EME,YU7EF,,04/07
147,9W2QC,OJ03TB,EME,,144: 2x 10el Vert  70 W,10/08
148,9X4V,PM95RI,EME,SpecialCall,,09/06
149,A22BW,KG38SU,EME,,,01/94
150,A35RS,AG28HV,EME,,,12/08
151,A43DLH,LL93,EME,EXPEDITION,,09/08
152,A43EME,LL93,EME,EXPEDITION,,11/08
153,A61Q,LL75SJ,EME,,144: 4x 13el 700W,10/06
154,A71AW,LL55RH,EME,,144:  2XP20 1KW,07/06
155,AA0BR,DN70KN,,,,01/03
156,AA0BW,EM29PS,,,,04/03
157,AA0DQ,EN12,,,,01/03
158,AA0EN,EM29,,,,01/03
159,AA0P,DM79,,,,01/03
160,AA1OV,FN43GE,,,,04/03
161,AA1VL,FN42HN,,,,04/03
162,AA1YN,FN43GC,EME,,144: 4x 16el 100W,10/06
163,AA2GF,FN02,,,,01/03
164,AA2WV,FN12BV,EME,,144: 4x 17el 400W,10/06
165,AA3NM,FM19JE,,,,01/03
166,AA4FQ,EM67LQ,EME,,1500W,01/05
167,AA4SC,EM94MX,EME,,,05/08
168,AA5C,EM13SE,,,FT-990  FT-736R  Homebrew Microwave Gear,10/07
169,AA5CH,EM35GK,,,,01/03
170,AA5IB,EM12,,,,01/03
171,AA5WL,EM32,,,,01/03
172,AA5WQ,EM26BC,,,,01/03
173,AA6GS,DM12,,,,01/03
174,AA6HA,DM43CN,,,144: 500W  9el M2,01/01
175,AA6IW,CM97VI,,,,01/03
176,AA6WI,CM97,,,,01/03
177,AA7A,DM43AO,EME,,144: 8877 1.5KW  6x13el (DJ9BV),09/06
178,AA8BC,EN90FE,,,,01/03
179,AA8HS,EN81,,,,01/03
180,AA9D,EN52,,,,01/01
181,AA9IL,EN62AI,,,,01/03
182,AA9MY,EN50FM,EME,,144: Yaesu 847  IC910H  IC706MKIIG 2x 18XXX M2,11/05
183,AB0SD,EN30LL,,,,01/03
184,AB0TJ,DN60FN,,,,01/03
185,AB3BK,FN10PD,EME,,144: 17el 400W,09/06
186,AB4CR,EM77,,,,01/03
187,AB4OO,EM81,,,,01/98
188,AB5F,EM46FG,,KG7CV,KENWOOD TS-2000--VIKING VALIANT--HQ-170,05/07
189,AB5IG,EM12,,,,01/03
190,AB9FN,EN53,,,,01/03
191,AC1H,FN33XJ,,,144: 300W 13dbD yagi,01/01
192,AC1T,FN32,,,,01/03
193,AC3A,EM28QV,EME,,FT847  144:  4x 9el M2  8877  1-5KW,08/05
194,AC4TO,EM70,,,,02/05
195,AC5OG,EM10,EME,,,03/05
196,AC5TM,EM40LL,EME,,144: 2M5 400W,03/05
197,AD4EB,EM65NS,,,,01/03
198,AD4TJ,FM08LE,EME,,IC706MKIIG 144: 4x 15el K1FO 700w JT--KW+ CW,10/08
199,AD6A,CM97AG,,,,01/03
200,AD6FP,CM87WI,EME,,,01/04
201,AD6P,EM18,,,,01/03
202,AE0G,EN10PS,,,,01/03
203,AE0W,DM78,,,,01/03
204,AE4RO,EL97TG,,,,09/01
205,AE5K,EM36PC,,,,01/03
206,AE6EQ,CM95OH,EME,,432: 16x 14el 700W,09/05
207,AF1T,FN43ED,EME,,,
208,AF4IF,EL95US,,KD4GKO,Yaesu,08/07
209,AF4O,EM55LK,,,,01/03
210,AF6O,DM14EJ,EME,ex G3PRM,144: 4x 2M12  800W  - 432:  4x 9wl 1500W,01/06
211,AF9R,EN52XB,,,,01/03
212,AG2A,FN30FR,,,,01/03
213,AG4QE,FM04KX,,,,01/03
214,AG4ZE,EM83WM,EME,,,07/06
215,AG9Y,EN40,,,144: 160W  13el,01/01
216,AH6EZ,EN51SW,,,,12/01
217,AH6LE,CN85NK,,,,01/03
218,AH8A,AH45OP,,,,01/03
219,AI1K,FN41IL,,,,01/03
220,AI3W,FM19PW,,,,01/04
221,AI8Z,DM79,,,,01/03
222,AJ0E,EM29RD,,,,01/03
223,AJ6T,CM87XK,,,144: 200w 10el   50:100w 6el,05/07
224,AM25DXU,JN11CM,EME,SpecialCall,,01/92
225,AN3JT,JN01UI,EME,SPECIALCALL,IC910 + SP2 + 4x13B2 + GS35B,08/07
226,AN6SA,JM19IR,EME,SpecialCall,144: FT847  2x4CX250 2x17el -  432: 4x33el,01/01
227,AO4WT,IN80KN,,,,08/08
228,AO5TT,IM99SL,,,,08/08
229,AO6SA,JM19IR,EME,SPECIALCALL,,09/07
230,AO6VQ,JM19HN,EME,SPECIALCALL,144:  2KW  MGF1302  8x17el M2    432: 21el 115w   1296:  55el 10w,12/07
231,BA4TB,PM01EO,EME,EXPEDITION,IC746 + HL250PA (running 250W) 2x 10ele Yagi,03/08
232,BD1AX,PL04VQ,EME,,144: 2wl Yagi 350W,04/08
233,BV6GU,PL03CD,EME,,144: 250W 20ele cross yagi,05/06
234,BX1AD,PL04VQ,EME,,144: 11 Xpol 100W,03/08
235,BY1QH,ON80DA,,,,01/03
236,BY4RRR,OM92JA,EME,,144: 2x13 ele  100W  432:  2x 17 ele 70W,02/08
237,BY4RSA,OM91,EME,,,08/08
238,BY7PP,OL63NA,EME,EXPEDITION,50:  2x 6el 100W 144: 2x9el 300W Preamp SP-2000 432: 2x20el 70W,02/08
239,BY9AA,OM44LL,EME,,144: IC920  2 x 15 XP  350W,03/08
240,C31MS,JN02UN,,Expedition,144: 2Stn a� 800W  2x17el  or 11el,05/97
